patient_id,owner_id,owner_name,pet_type,breed,patient_name,gender,patient_age,date_registration,owner_phone
dog_6630,3516,Debra Gross,Dog,Beagle,ACE,Male,6,2024-09-16,+447092186612
dog_8834,4581,Kyle Hansen,Dog,Beagle,ACE,Male,10,2024-07-12,+447814528632
dog_8496,8443,Travis Miller,Dog,Beagle,ACE,Male,2,2024-11-26,+447284920260
dog_6440,3633,Mrs. Amanda Howell DDS,Dog,Beagle,ACE,Male,10,2024-05-18,+447968476299
dog_9311,8265,Ronald Ali,Dog,Beagle,ACE,Male,3,2024-06-18,+447739622518
dog_7919,2177,Erika Brown,Dog,Beagle,ACE,Male,7,2024-03-08,+447853224565
dog_7636,2946,Madison Carroll,Dog,Beagle,ACE,Male,13,2024-04-12,+447122254017
dog_2741,3467,Alexander Mcneil,Dog,Beagle,ACE,Male,5,2024-04-20,+447648166135
dog_7953,1109,Diana White,Dog,Beagle,ACE,Male,4,2024-03-08,+447541814598
dog_8733,4690,Scott Barnes,Dog,Beagle,APOLLO,Male,5,2024-10-16,+447139855102
dog_4547,4621,Matthew Nash,Dog,Beagle,APOLLO,Male,12,2024-10-19,+447715670744
dog_7669,6871,Edward Smith,Dog,Beagle,APOLLO,Male,14,2024-01-16,+447545237440
dog_6586,3649,Dr. Michele Pugh,Dog,Beagle,APOLLO,Male,12,2024-04-14,+447585618898
dog_5880,5974,Nathan Wilson,Dog,Beagle,BAXTER,Male,11,2024-08-21,+447645490200
dog_203,1691,Stephanie Jenkins,Dog,Beagle,BAXTER,Male,12,2024-06-02,+447578199144
dog_3411,7832,Brian Khan,Dog,Beagle,BAXTER,Male,11,2024-09-14,+447977396402
dog_7181,1916,Susan Riley,Dog,Beagle,BAXTER,Male,2,2024-02-02,+447567810256
dog_4555,4494,Ryan Glover,Dog,Beagle,BAXTER,Male,12,2024-12-14,+447775410473
dog_9259,8953,Stacey Murphy,Dog,Beagle,BEAR,Male,14,2024-01-15,+447774371646
dog_5032,5693,Tara Haynes,Dog,Beagle,BEAR,Male,11,2024-09-16,+447537190939
dog_9372,9648,Stephanie Phelps,Dog,Beagle,BEAR,Male,3,2024-05-06,+447064791067
dog_2291,5808,William Lee,Dog,Beagle,BELLA,Female,3,2024-06-10,+447356427887
dog_4622,3246,Scott Dawson,Dog,Beagle,BELLA,Female,8,2024-02-16,+447364600103
dog_3307,5684,Tamara Dominguez,Dog,Beagle,BELLA,Female,13,2024-09-02,+447165392713
dog_2036,3476,Debra Thompson,Dog,Beagle,BELLA,Female,13,2024-05-10,+447877233692
dog_6797,3920,Dillon Huang,Dog,Beagle,BELLA,Female,6,2024-05-20,+447048157343
dog_8027,7815,Michelle Morrison,Dog,Beagle,BELLA,Female,4,2024-06-24,+447078940000
dog_5316,4308,Jessica Thomas,Dog,Beagle,BELLA,Female,6,2024-01-13,+447165198480
dog_4749,1948,Lindsey Jones,Dog,Beagle,BELLA,Female,3,2024-09-06,+447392799207
dog_5318,5604,Wendy Cobb,Dog,Beagle,BENTLEY,Male,4,2024-02-16,+447674261884
dog_8263,1513,John Williams,Dog,Beagle,BENTLEY,Male,9,2024-08-19,+447053564993
dog_159,3153,Tracy Myers,Dog,Beagle,BENTLEY,Male,8,2024-10-22,+447756843197
dog_4653,5135,Jennifer Hill,Dog,Beagle,BENTLEY,Male,14,2024-10-13,+447552881039
dog_968,1972,Kari Ryan,Dog,Beagle,BENTLEY,Male,15,2024-06-10,+447521827666
dog_7604,5811,Breanna Obrien,Dog,Beagle,BENTLEY,Male,3,2024-05-06,+447275746019
dog_5118,5974,Nathan Wilson,Dog,Beagle,BENTLEY,Male,4,2024-01-12,+447645490200
dog_6146,4222,Caitlin Cooper,Dog,Beagle,BENTLEY,Male,9,2024-06-01,+447459712829
dog_4040,2825,Erin Kennedy,Dog,Beagle,BUDDY,Male,6,2024-06-08,+447264125203
dog_1502,8499,Jim Alvarez,Dog,Beagle,BUDDY,Male,7,2024-08-02,+447600192909
dog_1360,9268,Charles Lewis,Dog,Beagle,BUDDY,Male,7,2024-03-11,+447893839905
dog_4408,1613,Christopher White,Dog,Beagle,CAPTAIN,Male,5,2024-04-27,+447326728641
dog_5883,5346,David Rodriguez,Dog,Beagle,CHARLIE,Male,10,2024-02-18,+447622684432
dog_5467,6233,Rachel Hernandez,Dog,Beagle,CHARLIE,Male,8,2024-10-17,+447988679107
dog_3039,2683,Mason Smith,Dog,Beagle,CHARLIE,Male,15,2024-03-31,+447332351883
dog_6400,3545,James Boyer,Dog,Beagle,CHARLIE,Male,1,2024-03-23,+447827309313
dog_5201,5247,Julie Green,Dog,Beagle,CHARLIE,Male,4,2024-01-16,+447349164399
dog_2757,7616,Christian Jimenez,Dog,Beagle,CHARLIE,Male,13,2024-11-07,+447802623710
dog_5798,8464,Denise Ayala,Dog,Beagle,CHARLIE,Male,1,2024-01-01,+447504884194
dog_6163,9760,Joshua Smith,Dog,Beagle,CHARLIE,Male,13,2024-08-20,+447591855955
dog_1554,3415,Tyler Clay,Dog,Beagle,CHLOE,Female,6,2024-08-03,+447106832713
dog_8297,6547,Sabrina Mitchell,Dog,Beagle,CHLOE,Female,15,2024-06-26,+447445223257
dog_6492,3429,Randall Lewis,Dog,Beagle,CHLOE,Female,1,2024-12-24,+447676458894
dog_8843,9243,Jose Lynn,Dog,Beagle,CHLOE,Female,3,2024-05-09,+447916106019
dog_4840,3193,Daniel Kim,Dog,Beagle,CHLOE,Female,6,2024-04-14,+447330783084
dog_1316,7159,Alfred Warren,Dog,Beagle,CHLOE,Female,12,2024-03-03,+447856733174
dog_528,5765,David Gill,Dog,Beagle,COCO,Female,2,2024-07-10,+447075958714
dog_8128,4570,Tammy Munoz,Dog,Beagle,COCO,Female,14,2024-05-08,+447373290751
dog_5513,6890,Eric Hebert,Dog,Beagle,COCO,Female,1,2024-07-27,+447776446981
dog_9253,2719,Jacob Oliver,Dog,Beagle,COCO,Female,7,2024-10-01,+447152993379
dog_1788,5683,Tracy Horton,Dog,Beagle,COCO,Female,14,2024-12-04,+447335264942
dog_6158,6035,Tammy Frederick,Dog,Beagle,COCO,Female,10,2024-04-13,+447787198627
dog_2964,3425,Amanda Francis,Dog,Beagle,COCO,Female,1,2024-04-23,+447683806174
dog_5299,4411,Christian Rodriguez,Dog,Beagle,COOPER,Male,11,2024-09-15,+447905812186
dog_4681,9125,Megan Pruitt,Dog,Beagle,COOPER,Male,14,2024-08-08,+447026779714
dog_8795,8744,Sharon Perez,Dog,Beagle,COOPER,Male,13,2024-05-15,+447626979092
dog_792,2828,Brianna Delacruz,Dog,Beagle,DAISY,Female,6,2024-04-21,+447512586328
dog_6577,8998,David Washington,Dog,Beagle,DAISY,Female,3,2024-10-21,+447300430522
dog_2048,4205,David Patterson,Dog,Beagle,DAISY,Female,14,2024-03-02,+447052405731
dog_8578,7449,Jeffrey Montes,Dog,Beagle,DAISY,Female,11,2024-06-15,+447719201884
dog_4252,5081,Catherine Thompson,Dog,Beagle,DAISY,Female,5,2024-02-24,+447052160613
dog_2176,2163,Karen White,Dog,Beagle,DAISY,Female,8,2024-08-30,+447653182597
dog_3301,8048,Chase Austin,Dog,Beagle,DAISY,Female,14,2024-09-25,+447456931610
dog_5904,8478,Tracy Hall,Dog,Beagle,DAISY,Female,6,2024-12-30,+447131382953
dog_497,3992,Karen Williams,Dog,Beagle,DAISY,Female,9,2024-07-27,+447580276740
dog_6512,8264,Kayla Valdez,Dog,Beagle,DAISY,Female,12,2024-11-13,+447267645836
dog_3618,5278,Carmen Swanson,Dog,Beagle,DAISY,Female,1,2024-06-07,+447005807635
dog_3543,2448,Eric Jimenez,Dog,Beagle,DAISY,Female,11,2024-03-28,+447785246445
dog_2387,2856,Stuart Howard,Dog,Beagle,DIESEL,Male,5,2024-06-29,+447873135111
dog_4892,2407,Beth Gonzalez,Dog,Beagle,DIESEL,Male,1,2024-01-17,+447141853936
dog_7058,5914,Casey Day,Dog,Beagle,DIESEL,Male,6,2024-08-24,+447418936763
dog_4748,3013,Tracy Nguyen,Dog,Beagle,DOLLY,Female,13,2024-06-22,+447185849932
dog_5385,8834,Alexander Vazquez,Dog,Beagle,DOLLY,Female,13,2024-06-26,+447768950474
dog_4130,9017,Morgan Monroe,Dog,Beagle,DOLLY,Female,13,2024-06-04,+447252347862
