patient_id,owner_id,owner_name,pet_type,breed,patient_name,gender,patient_age,date_registration,owner_phone
dog_1,9405,Dr. Brandon Galloway,Dog,Poodle,Luke,Male,6,2024-05-24,+44 7700 421511
cat_2,3203,Carrie Cole,Cat,Unknown,Coco,Male,16,2024-12-22,+44 7686 703051
cat_3,6704,Todd Arias,Cat,No Breed,charlie,Male,18,2024-05-22,+44 75(97 996856
cat_4,6704,Todd Arias,Cat,Bengal,Jasper,Male,7,2024-03-11,+44 7597 996856
cat_5,9405,Dr. Brandon Galloway,Cat,Siamese,SIMBA,Male,17,2024-08-26,+44 7700 421511
dog_6,3983,Yolanda Hicks,Dog,Boxer,TEDDY,Male,13,2024-09-13,+44 7541 455346
dog_7,6704,Todd Arias,Dog,Unknown,oscar,Male,7,2024-06-29,+44 7597 996856
cat_8,7277,Barbara Gill,Cat,Ragdoll,Bella,Female,19,2024-01-02,+44 7868 810424
hamster_9,3203,Carrie Cole,Hamster,Mix,Zoey,Female,3,2024-01-11,+44 7686 703051
hamster_10,4480,Michael Rich,Hamster,Syrian Hamster,Zippy,Male,2,2024-06-09,+44 7290 767999
cat_11,2258,Brian Daniels PhD,Cat,Bengal,misty,Female,9,2024-03-11,+44 7094 849462
dog_12,9405,Dr. Brandon Galloway,Dog,,Zoe,Female,8,2024-09-09,+44 7700 421511
hamster_13,2258,Brian Daniels PhD,Hamster,Unknown,Cookie,Male,3,2024-12-23,+44 7094 849462
hamster_14,4480,Michael Rich,Hamster,Unknown,LULU,Female,2,2024-03-19,+44 7290 767999
cat_15,1649,Michael Brown,Cat,Bengal,Toby,Male,15,2024-02-06,+44 7683 649201
cat_16,6704,Todd Arias,Cat,Maine Coon,FLUFFY,Female,4,2024-05-01,+44 7597 996856
hamster_17,9075,Annette Peck,Hamster,Syrian Hamster,Oreo,Male,2,2024-08-25,+44 7711 3@36211
hamster_18,1571,Elizabeth Cordova,Hamster,Mix,poppy,Female,1,2024-07-02,+44 7118 557529
cat_19,8738,William White,Cat,Maine Coon,TOBY,Male,19,2024-12-12,+44 7644 543031
cat_20,9405,Dr. Brandon Galloway,Cat,Unknown,Nala,Female,4,2024-07-03,+44 7700 421511
hamster_21,3983,Yolanda Hicks,Hamster,Syrian Hamster,ziggy,Male,3,2024-10-19,+44 7541 455346
dog_22,9775,Joshua Chung,Dog,Boxer,ROXY,Female,10,2024-02-03,+44 7691 115406
dog_23,2258,Brian Daniels PhD,Dog,Mix,Rex,Male,5,2024-05-20,+44 7094 849462
hamster_24,8216,Brenda Pierce,Hamster,Unknown,ginger,Female,1,2024-05-26,+44 7638 452519
cat_25,1649,Michael Brown,Cat,Mix,Lucy,Female,2,2024-01-06,+44 7683 649201
hamster_26,8982,Jason Smith,Hamster,No Breed,Cookie,Female,2,2024-09-27,+44 7412 457494
dog_27,5476,Megan Welch,Dog,Unknown,bella,Female,2,2024-07-19,+44 7072 671176
dog_28,9921,James Alvarado,Dog,German Shepherd,MOLLY,Female,5,2024-02-25,+44 7398 488553
cat_29,1006,Colleen Harper,Cat,British Shorthair,Rocky,Male,19,2024-02-15,+44 7141 285190
dog_30,8006,Tiffany Austin,Dog,Boxer,Poppy,Female,1,2024-07-09,+44 7169 474525
dog_31,5476,Megan Welch,Dog,Poodle,Ziggy,Male,1,2024-02-29,+44 7072 671176
dog_32,9775,Joshua Chung,Dog,Labrador Retriever,chloe,Female,15,2024-10-05,+44 7691 115406
dog_33,4286,Jonathan Parks,Dog,Poodle,zoe,Female,14,2024-03-15,+44 7887 565969
cat_34,9921,James Alvarado,Cat,Unknown,gracie,Female,1,2024-02-06,+(44 7398 488553
dog_35,3203,Carrie Cole,Dog,No Breed,ruby,Female,3,2024-09-14,+44 7686 703051
hamster_36,8795,Charles Hines,Hamster,Unknown,COOKIE,Female,1,2024-08-11,+44 7445 245621
dog_37,3983,Yolanda Hicks,Dog,Mix,daisy,Female,1,2024-08-06,+44 7541 455346
dog_38,1407,Mr. Roger Wood,Dog,German Shepherd,penny,Female,5,2024-04-01,+44 7811 653611
dog_39,7277,Barbara Gill,Dog,Poodle,TOBY,Male,9,2024-03-14,+44 7868 810424
hamster_40,3422,Heather Giles,Hamster,No Breed,PEANUT,Male,1,2024-10-30,+44 7890 559139
cat_41,6704,Todd Arias,Cat,,Pumpkin,Female,19,2024-06-30,+44 759)7 996856
dog_42,6121,Rhonda Byrd,Dog,Unknown,Thor,Male,9,2024-01-22,+44 7338 371913
dog_43,1407,Mr. Roger Wood,Dog,German Shepherd,gracie,Female,11,2024-08-03,+44 7811 653611
hamster_44,3983,Yolanda Hicks,Hamster,Mix,POPPY,Female,2,2024-05-24,+44 7541 455346
dog_45,7277,Barbara Gill,Dog,German Shepherd,hunter,Male,4,2024-06-27,+44 7868 810424
cat_46,9586,Shannon Knox,Cat,Bengal,TOBY,Male,11,2024-10-08,+44 7539 541972
cat_47,5138,Nicholas Jordan,Cat,Maine Coon,ruby,Female,15,2024-01-15,+44 7873 646708
cat_48,3431,Travis Gonzalez,Cat,Sphynx,boots,Male,9,2024-05-08,+44 7230 40091)6
dog_49,5484,David Brown,Dog,Mix,TEDDY,Male,3,2024-04-25,+44 7809 183761
hamster_50,1006,Colleen Harper,Hamster,Syrian Hamster,Peanut,Male,2,2024-06-27,+44 7141 285190
dog_51,2174,Nicholas Maldonado,Dog,Poodle,ROSIE,Female,13,2024-06-04,+44 7878 7833&23
cat_52,8672,Jesse Townsend,Cat,Siamese,Bella,Female,20,2024-09-26,+44 7243 380411
dog_53,4234,Stephanie Schwartz,Dog,Labrador Retriever,COCO,Female,9,2024-11-01,+44 7262 611181
cat_54,2258,Brian Daniels PhD,Cat,Unknown,jack,Male,6,2024-10-07,+44 7094 849462
dog_55,9775,Joshua Chung,Dog,German Shepherd,finn,Male,5,2024-03-16,+44 7691 115406
dog_56,1649,Michael Brown,Dog,Unknown,Shadow,Male,14,2024-07-15,+44 7683 649201
cat_57,8991,Michael Padilla,Cat,Siamese,cupcake,Female,8,2024-02-16,+44 7802 708139
dog_58,2425,Willie Taylor,Dog,Unknown,ace,Male,8,2024-04-08,+44 7333 129156
cat_59,9075,Annette Peck,Cat,Unknown,gizmo,Male,10,2024-05-19,+44 7711 336211
hamster_60,9405,Dr. Brandon Galloway,Hamster,Mix,FUZZBALL,Male,3,2024-09-09,+44 7700 421511
cat_61,3422,Heather Giles,Cat,Maine Coon,Jack,Male,19,2024-04-06,+44 7890 559139
hamster_62,7277,Barbara Gill,Hamster,No Breed,GINGER,Female,1,2024-11-13,+44 7868 810424
cat_63,9075,Annette Peck,Cat,Unknown,Snowball,Female,2,2024-06-20,+44 7711 336211
cat_64,8006,Tiffany Austin,Cat,Maine Coon,toby,Male,15,2024-09-19,+44 7169 &474525
hamster_65,8982,Jason Smith,Hamster,No Breed,Phoebe,Female,3,2024-02-02,+44 7412 457494
cat_66,8982,Jason Smith,Cat,British Shorthair,NALA,Female,9,2024-11-05,+44 7412 457494
hamster_67,4681,Lucas Bailey,Hamster,Roborovski Hamster,mochi,Male,3,2024-11-05,+44 7(663 861486
dog_68,2413,Katrina Lopez,Dog,Labrador Retriever,LILY,Female,6,2024-11-13,+44 7119 479967
cat_69,4936,Christopher Marquez,Cat,Unknown,LOKI,Male,6,2024-11-15,+44 7158 892197
cat_70,3203,Carrie Cole,Cat,Ragdoll,JASPER,Male,8,2024-08-08,+44 7686 70305#1
cat_71,1649,Michael Brown,Cat,Mix,rosie,Female,16,2024-08-22,+44 7683 649201
cat_72,9586,Shannon Knox,Cat,British Shorthair,Willow,Female,3,2024-11-08,+44 7539 541972
hamster_73,9075,Annette Peck,Hamster,No Breed,Jasper,Male,1,2024-04-11,+44 7711 336211
cat_74,8216,Brenda Pierce,Cat,Siamese,Pepper,Male,8,2024-12-09,+44 7638 452519
dog_75,8738,William White,Dog,Unknown,DOLLY,Female,2,2024-04-24,+44 7644 543031
cat_76,8795,Charles Hines,Cat,Unknown,Pepper,Male,19,2024-06-02,+44 7445 245621
cat_77,5532,Stephen Ware,Cat,Bengal,Cleo,Female,10,2024-12-06,+44 7753 294501
hamster_78,9311,Jesse Estrada,Hamster,Syrian Hamster,THOR,Male,2,2024-07-10,+44 7979 298684
cat_79,3431,Travis Gonzalez,Cat,Unknown,oliver,Male,14,2024-10-28,+44 7230 400916
dog_80,8795,Charles Hines,Dog,Boxer,charlie,Male,12,2024-01-11,+44 7445 245621
dog_81,4015,Allen Foster,Dog,Bulldog,Hunter,Male,15,2024-12-30,+44 7108 793349
dog_82,4466,Noah Michael,Dog,No Breed,hazel,Female,4,2024-04-14,+44 7785 549596
cat_83,9241,David Leonard,Cat,Unknown,Fiona,Female,8,2024-04-06,+44 7628 689768
hamster_84,4234,Stephanie Schwartz,Hamster,No Breed,SASHA,Female,3,2024-09-08,+44 7262 611181
cat_85,3153,Tracy Myers,Cat,Mix,Zara,Female,15,2024-06-27,+44 7756 843197
dog_86,1044,John Riley,Dog,Bulldog,Luna,Female,9,2024-10-30,+!44 7455 829076
hamster_87,4544,Douglas Rogers,Hamster,Roborovski Hamster,Ziggy,Male,1,2024-06-04,+44 7065 703540
dog_88,2413,Katrina Lopez,Dog,Labrador Retriever,chloe,Female,10,2024-01-21,+44 7119 479967
dog_89,6205,Bonnie Glenn,Dog,No Breed,BEAR,Male,4,2024-08-05,+44 7943 648055
hamster_90,1410,Autumn Wilson,Hamster,Mix,MAPLE,Female,1,2024-02-16,+44 7837 669591
dog_91,8564,Timothy Kennedy,Dog,Mix,LUKE,Male,11,2024-03-11,+44 7809 377365
dog_92,4984,Sierra Woods,Dog,Golden Retriever,luke,Male,7,2024-07-10,+44 7983 469024
hamster_93,8593,Gregory Gilmore,Hamster,,Benny,Male,2,2024-01-01,+44 7535 585944
cat_94,4681,Lucas Bailey,Cat,Bengal,ZIGGY,Male,3,2024-01-26,+44 7663# 861486
dog_95,8216,Brenda Pierce,Dog,Boxer,toby,Male,13,2024-08-09,+44 7638 452519
dog_96,6271,Keith Hayes,Dog,Mix,daisy,Female,1,2024-02-01,+44 7919 142017
dog_97,9311,Jesse Estrada,Dog,Beagle,RILEY,Male,13,2024-04-12,+44 7979 298684
cat_98,9405,Dr. Brandon Galloway,Cat,No Breed,FELIX,Male,7,2024-11-17,+44 7700 421511
hamster_99,4544,Douglas Rogers,Hamster,No Breed,ROSIE,Female,2,2024-01-07,+44 7065 703540
hamster_100,9240,Kimberly Pena,Hamster,Mix,Dexter,Male,3,2024-07-10,+44 7892 749484
dog_101,7130,Mr. Joshua Smith,Dog,Bulldog,molly,Female,1,2024-08-31,+4(4 7679 361228
dog_102,8203,Barry Davis,Dog,No Breed,FINN,Male,6,2024-04-27,+44 7341 525960
dog_103,1833,Joel Jackson,Dog,German Shepherd,luna,Female,13,2024-10-21,+44 7878 234823
hamster_104,6198,Philip Scott,Hamster,Unknown,CINNAMON,Female,2,2024-08-27,+44 7602 209365
dog_105,7277,Barbara Gill,Dog,Unknown,Coco,Female,10,2024-12-17,+44 7868 810424
dog_106,9586,Shannon Knox,Dog,No Breed,zoey,Female,8,2024-12-04,+44 7539 541972
dog_107,3303,Patricia Rodriguez,Dog,Mix,ACE,Male,5,2024-05-15,+44 7783 609022
dog_108,1687,Andrew Smith,Dog,Poodle,Maximus,Male,1,2024-04-08,+44 7197 496907
dog_109,8564,Timothy Kennedy,Dog,Boxer,Diesel,Male,8,2024-04-08,+44 7809 377365
hamster_110,9075,Annette Peck,Hamster,Roborovski Hamster,PEANUT,Male,2,2024-04-03,+44 7711 336211
hamster_111,9637,Christie Campbell,Hamster,No Breed,chester,Male,3,2024-05-08,+44 7992 105554
hamster_112,3053,Harold Fletcher II,Hamster,Unknown,Thor,Male,1,2024-02-24,+44 7674 947122
cat_113,1324,Thomas Bruce,Cat,Persian,Jasper,Male,14,2024-02-13,+44 7161 557280
cat_114,1410,Autumn Wilson,Cat,Mix,JASPER,Male,10,2024-10-02,+44 7837 669591
dog_115,8982,Jason Smith,Dog,Bulldog,ROSIE,Female,7,2024-08-24,+44 7412 457494
cat_116,4286,Jonathan Parks,Cat,Siamese,buddy,Male,2,2024-02-03,+44 7887 565969
dog_117,7632,Natalie Oconnell,Dog,Golden Retriever,NINA,Female,12,2024-01-12,+44 7523 601587
dog_118,7026,Joseph Rice,Dog,Labrador Retriever,ruby,Female,7,2024-05-04,+44 7998 625130
hamster_119,6205,Bonnie Glenn,Hamster,Syrian Hamster,COCO,Male,2,2024-07-12,+44 7943 648055
dog_120,9486,Bailey Hill,Dog,Mix,Lucy,Female,15,2024-02-21,+44 7725 490246
cat_121,3303,Patricia Rodriguez,Cat,No Breed,Cinnamon,Female,7,2024-06-12,+44 7783 609022
cat_122,4466,Noah Michael,Cat,British Shorthair,TINKERBELL,Female,13,2024-05-05,+44 7785 549596
dog_123,7735,James Robinson,Dog,Labrador Retriever,mabel,Female,1,2024-08-16,+44 7865 627624
cat_124,7554,Heather Munoz,Cat,No Breed,SMOKEY,Male,20,2024-05-25,+44 7430 794398
hamster_125,2258,Brian Daniels PhD,Hamster,,JASPER,Male,2,2024-12-25,+44 7094 849462
cat_126,9084,Tara Anderson,Cat,No Breed,ruby,Female,4,2024-05-20,+44 7716 869317
hamster_127,4313,Jason Howard,Hamster,Unknown,HAZEL,Female,1,2024-10-08,+44 7743 646407
dog_128,2481,Kathryn Mcgee,Dog,Golden Retriever,DAISY,Female,1,2024-08-22,+44 7304 509191
cat_129,2927,Charles Williams,Cat,British Shorthair,tiger,Male,5,2024-12-01,+44 7030 588190
cat_130,3748,Stephanie Khan,Cat,Sphynx,MAX,Male,6,2024-07-04,+44 7121 114382
hamster_131,2425,Willie Taylor,Hamster,Mix,BELLA,Female,2,2024-08-13,+44 7333 12915!6
hamster_132,3053,Harold Fletcher II,Hamster,Mix,POPPY,Female,1,2024-09-02,+44 7674 947122
dog_133,8982,Jason Smith,Dog,Bulldog,milo,Male,4,2024-09-09,+44 7412 457494
dog_134,7130,Mr. Joshua Smith,Dog,Mix,BAXTER,Male,10,2024-05-28,+44 7679 361228
dog_135,5765,David Gill,Dog,Poodle,zoe,Female,8,2024-07-07,+44 7075 958714
dog_136,8593,Gregory Gilmore,Dog,Beagle,poppy,Female,11,2024-12-02,+44 7535 585944
cat_137,1649,Michael Brown,Cat,Mix,VIOLET,Female,9,2024-12-01,+44 7683 649201
cat_138,9968,Jeffery Murphy,Cat,Siamese,willow,Female,11,2024-03-19,+44 7451 709067
hamster_139,8657,Jennifer Morales,Hamster,No Breed,Cupcake,Female,1,2024-06-25,+44 7439 481900
dog_140,3029,Patrick Cole,Dog,Unknown,Riley,Male,1,2024-09-21,+44 7081 679539
hamster_141,2481,Kathryn Mcgee,Hamster,Syrian Hamster,Louie,Male,1,2024-05-13,+44 7304 509191
dog_142,3007,Anthony Franklin,Dog,Mix,ZARA,Female,7,2024-10-21,+44 7106 645791
cat_143,8216,Brenda Pierce,Cat,No Breed,Rocky,Male,4,2024-08-06,+44 7638 452519
dog_144,9750,Victoria Barnes,Dog,Unknown,coco,Female,1,2024-05-17,+44 7546 844050
cat_145,6565,Mr. Robert Arnold MD,Cat,Mix,ruby,Female,9,2024-01-20,+44 7370 313074
dog_146,8593,Gregory Gilmore,Dog,Golden Retriever,Thor,Male,13,2024-05-27,+44 7535 585944
cat_147,1410,Autumn Wilson,Cat,Siamese,shadow,Male,14,2024-08-07,+44 7837 669591
dog_148,2210,Jill Mccall,Dog,German Shepherd,baxter,Male,14,2024-08-30,+44 7657 792825
hamster_149,8738,William White,Hamster,No Breed,Speedy,Male,2,2024-01-07,+44 7644 543031
hamster_150,7024,Joshua Thompson,Hamster,Mix,jasmine,Female,2,2024-11-24,+44 7257 319430
dog_151,4286,Jonathan Parks,Dog,No Breed,shadow,Male,10,2024-02-10,+44 7887 565969
dog_152,7355,Jessica Reese,Dog,German Shepherd,BEAR,Male,8,2024-03-12,+44 7229 368305
dog_153,7224,Derek Brown,Dog,Golden Retriever,GUS,Male,14,2024-04-25,+44 7814 560785
dog_154,6455,Jason Wright,Dog,German Shepherd,LUKE,Male,11,2024-04-16,+44 7737 936428
cat_155,1407,Mr. Roger Wood,Cat,Persian,cupcake,Female,1,2024-07-28,+44 7811 653611
hamster_156,7554,Heather Munoz,Hamster,Roborovski Hamster,roxy,Female,2,2024-10-20,+44 7430 794398
dog_157,7026,Joseph Rice,Dog,No Breed,Riley,Male,13,2024-09-07,+44 7998 625130
dog_158,3053,Harold Fletcher II,Dog,German Shepherd,coco,Female,3,2024-07-13,+44 767@4 947122
dog_159,3153,Tracy Myers,Dog,Beagle,Bentley,Male,8,2024-10-22,+44 7756 843197
hamster_160,5953,Jodi Wright,Hamster,Syrian Hamster,Tinkerbell,Female,2,2024-04-20,+44 7610 580941
hamster_161,5689,William Peterson,Hamster,Unknown,POPPY,Female,3,2024-01-03,+44 7940 324366
dog_162,6205,Bonnie Glenn,Dog,German Shepherd,ROCKY,Male,8,2024-02-19,+44 7943 648055
hamster_163,9246,Christopher Garcia,Hamster,Mix,Cookie,Female,3,2024-01-23,+44 7026 411223
cat_164,1407,Mr. Roger Wood,Cat,Sphynx,TILLY,Female,8,2024-08-09,+44 7811 653611
dog_165,9917,Katherine Simpson,Dog,German Shepherd,Teddy,Male,7,2024-02-02,+44 7542 505666
cat_166,3081,Steve James,Cat,Persian,scout,Male,20,2024-11-05,+44 7402 915669
cat_167,2258,Brian Daniels PhD,Cat,Bengal,Gracie,Female,4,2024-11-27,+44 7094 849462
dog_168,3053,Harold Fletcher II,Dog,No Breed,Maximus,Male,3,2024-05-26,+44 7674 947122
cat_169,7632,Natalie Oconnell,Cat,Maine Coon,mia,Female,6,2024-06-18,+44 7523 601587
dog_170,4234,Stephanie Schwartz,Dog,Boxer,PENNY,Female,14,2024-08-09,+44 7262 611181
dog_171,2796,Jennifer Young,Dog,Unknown,oscar,Male,14,2024-04-27,+44 7459 705766
cat_172,2684,Michelle Rogers,Cat,Sphynx,leo,Male,1,2024-04-15,+44 7820 255031
hamster_173,5145,Barbara Kennedy,Hamster,Roborovski Hamster,BEAR,Male,2,2024-04-24,+44 7697 553550
hamster_174,5138,Nicholas Jordan,Hamster,Roborovski Hamster,Bear,Male,1,2024-11-25,+44 7873 646708
hamster_175,8657,Jennifer Morales,Hamster,Syrian Hamster,DUSTY,Male,2,2024-09-16,+44 7439 481900
cat_176,8909,Justin Norman,Cat,British Shorthair,cleo,Female,11,2024-06-01,+44 7251 754273
hamster_177,2741,Pamela Gonzalez,Hamster,Syrian Hamster,JASPER,Male,1,2024-10-30,+44 7314 426626
hamster_178,4755,Sherri Huffman,Hamster,No Breed,Jasper,Male,1,2024-12-06,+44 7418 434518
dog_179,4107,Laura Mccarty,Dog,Unknown,MABEL,Female,7,2024-07-11,+44 7618 531740
dog_180,8879,Amber Mckay,Dog,Golden Retriever,oliver,Male,5,2024-10-12,+44 7101 451666
cat_181,6008,Jonathan Rowe,Cat,Persian,DAISY,Female,5,2024-01-22,+44 7949 634025
cat_182,5145,Barbara Kennedy,Cat,British Shorthair,TOBY,Male,16,2024-04-26,+44 7697 553550
cat_183,5568,Rebecca Mooney,Cat,Mix,ivy,Female,14,2024-05-21,+44 7684 716907
cat_184,9311,Jesse Estrada,Cat,Mix,Oscar,Male,15,2024-08-25,+44 7979 298684
hamster_185,4945,Sherry Johnson,Hamster,Roborovski Hamster,MARBLES,Female,2,2024-11-02,+44 7753 827732
dog_186,6904,Susan Garcia,Dog,German Shepherd,BELLA,Female,2,2024-06-17,+44 7100 341113
cat_187,6807,Jacob Garner,Cat,Persian,ash,Male,13,2024-05-19,+44 7798 271330
cat_188,3894,Mr. Dennis Cummings,Cat,No Breed,tiger,Male,14,2024-06-18,+44 7298 722819
cat_189,9241,David Leonard,Cat,Bengal,peaches,Female,16,2024-04-24,+44 7628 689768
cat_190,5145,Barbara Kennedy,Cat,Persian,VIOLET,Female,9,2024-10-30,+44 7697 553550
